outcome,spec,term,estimate,se,ci_low,ci_high,z,p,std_effect,n_obs,n_groups
log_latency,treatment_only_all_arms,mdl_DeepSeek_V4,0.0015429808568809733,0.029391327416466703,-0.056062962337218435,0.059148924050980385,0.052497828186436626,0.9581320258065105,0.0016134579377586333,18606,1129
log_latency,treatment_only_all_arms,mdl_GLM_5_2,0.1413540362143201,0.02939163330817438,0.08374749348349048,0.19896057894514974,4.809329060831976,1.5143773485333934e-06,0.14781051284410684,18606,1129
log_latency,treatment_only_all_arms,arm_No_search,-0.028893641118685868,0.029391633308175312,-0.08650018384951733,0.028712901612145587,-0.9830566683971617,0.3255795490808385,-0.030213384959246553,18606,1129
log_latency,treatment_only_all_arms,arm_Wide,-0.0991266193722422,0.029391327416467643,-0.15673256256634344,-0.04152067617814094,-3.372648603706909,0.0007444889990056145,-0.10365431959578777,18606,1129
log_latency,treatment_only_all_arms,arm_Native,0.3064199465385649,0.029391327416466568,0.24881400334446577,0.36402588973266403,10.42552254264271,1.8961417868599902e-25,0.3204159616274239,18606,1129
log_latency,treatment_only_all_arms,ix_Claude_Sonnet_5__No_search,-1.027761193933767,0.04156583014718169,-1.1092287240097523,-0.9462936638577817,-24.726107725854064,5.604141511443776e-135,-1.0747051391322902,18606,1129
log_latency,treatment_only_all_arms,ix_Claude_Sonnet_5__Wide,-0.08199641420022223,0.04156583014718171,-0.16346394427620758,-0.0005288841242368642,-1.9726879966039086,0.048531120368042566,-0.08574167642398614,18606,1129
log_latency,treatment_only_all_arms,ix_Claude_Sonnet_5__Native,-0.21716420851540572,0.04156565335801127,-0.29863139209098416,-0.13569702493982727,-5.2246071208104805,1.745252696181187e-07,-0.22708338503598258,18606,1129
log_latency,treatment_only_all_arms,ix_DeepSeek_V4__No_search,-0.19040438258536665,0.04156583014718068,-0.27187191266135,-0.1089368525093833,-4.580791046664116,4.632204808562672e-06,-0.1991012792520276,18606,1129
log_latency,treatment_only_all_arms,ix_DeepSeek_V4__Wide,0.2163166860198385,0.0415658301471807,0.1348491559438551,0.2977842160958219,5.204195014363515,1.9483931949917233e-07,0.22619715116483388,18606,1129
log_latency,treatment_only_all_arms,ix_GLM_5_2__No_search,-1.7932052865813017,0.041566479036418164,-1.8746740884568205,-1.711736484705783,-43.14065872671578,0.0,-1.8751116002267647,18606,1129
log_latency,treatment_only_all_arms,ix_GLM_5_2__Wide,0.26374330187717887,0.04156645191043288,0.18227455316761432,0.3452120505867434,6.345100189101808,2.2228074051097523e-10,0.2757900216627458,18606,1129
log_answer_words,treatment_only_all_arms,Intercept,1.581200525387857,0.03754119556161157,1.5076211341505232,1.6547799166251906,42.11907750228238,0.0,1.136593093378365,18606,1129
log_answer_words,treatment_only_all_arms,cat_Arts_and_culture,-0.12040943218218969,0.08881202155151997,-0.29447779581736394,0.05365893145298456,-1.3557785317648694,0.1751696438920266,-0.08655229162810804,18606,1129
