outcome,spec,model,contrast,estimate,se,ci_low,ci_high,p,p_bh
log_answer_words,treatment_only_all_arms,GLM-5.2,Wide - Normalized (result tier),0.06135981622035443,0.026913250811610945,0.008609844629596977,0.11410978781111188,0.02261296830200831,0.025843392345152354
log_answer_words,treatment_only_all_arms,GPT-5.6 Terra,Normalized - No search (retrieval gain),0.39372998576596535,0.026910699898365267,0.34098501396516945,0.44647495756676125,1.781945267410089e-48,2.375927023213452e-48
log_answer_words,treatment_only_all_arms,GPT-5.6 Terra,Wide - Normalized (result tier),0.03633063312275135,0.02690981244030019,-0.01641259926023702,0.08907386550573973,0.17698753939366196,0.17698753939366196
log_answer_words,treatment_only_all_arms,GPT-5.6 Terra,Native - Normalized (implementation),0.45163563836046344,0.026909812440300558,0.39889240597747433,0.5043788707434526,3.233198409086453e-63,5.173117454538325e-63
log_answer_words,treatment_only_all_arms,Claude Sonnet 5 - DeepSeek V4,difference in retrieval gain,-0.6358809497315299,0.0380562217139899,-0.71047114429095,-0.5612907551721097,1.127325881275506e-62,1.639746736400736e-62
log_answer_words,treatment_only_all_arms,Claude Sonnet 5 - GLM-5.2,difference in retrieval gain,-1.345151001955272,0.03805684924677944,-1.4197424264789595,-1.2705595774315843,1.1618783336244876e-273,2.6557219054274004e-273
log_answer_words,treatment_only_all_arms,Claude Sonnet 5 - GPT-5.6 Terra,difference in retrieval gain,0.8503795238253042,0.03805684924677816,0.7757880993016191,0.9249709483489894,1.35109509964771e-110,2.70219019929542e-110
log_answer_words,treatment_only_all_arms,DeepSeek V4 - GLM-5.2,difference in retrieval gain,-0.7092700522237421,0.03805684924678002,-0.7838614767474309,-0.6346786277000532,1.6066204589909263e-77,2.8562141493172022e-77
log_answer_words,treatment_only_all_arms,DeepSeek V4 - GPT-5.6 Terra,difference in retrieval gain,1.486260473556834,0.03805684924677889,1.4116690490331474,1.5608518980805208,0.0,0.0
log_answer_words,treatment_only_all_arms,GLM-5.2 - GPT-5.6 Terra,difference in retrieval gain,2.195530525780576,0.03805873178306493,2.120935411485769,2.2701256400753835,0.0,0.0
snippet_sufficiency,treatment_only_wide_vs_norm,Claude Sonnet 5,Wide - Normalized (result tier),0.011931114385257366,0.005434837645947504,0.0012788325992002577,0.022583396171314475,0.028141883092328873,0.03752251078977183
snippet_sufficiency,treatment_only_wide_vs_norm,DeepSeek V4,Wide - Normalized (result tier),0.012147139941303769,0.005434837645947504,0.001494858155246661,0.022799421727360877,0.025413993179537853,0.03752251078977183
snippet_sufficiency,treatment_only_wide_vs_norm,GLM-5.2,Wide - Normalized (result tier),0.012251739222956005,0.005439381608623486,0.001590551270053973,0.022912927175858036,0.024296122564529538,0.03752251078977183
snippet_sufficiency,treatment_only_wide_vs_norm,GPT-5.6 Terra,Wide - Normalized (result tier),0.005267118133936686,0.005433256019656276,-0.005382063664589614,0.015916299932462984,0.3323346601522009,0.3323346601522009
evidence_precision,treatment_only_wide_vs_norm,Claude Sonnet 5,Wide - Normalized (result tier),-0.014783227772515986,0.0019263343192593002,-0.018558843038264217,-0.011007612506767758,1.6635114383277346e-14,3.327022876655469e-14
evidence_precision,treatment_only_wide_vs_norm,DeepSeek V4,Wide - Normalized (result tier),-0.012748220624262596,0.0018867877396093336,-0.01644632459389689,-0.009050116654628302,1.412930183754188e-11,1.8839069116722505e-11
evidence_precision,treatment_only_wide_vs_norm,GLM-5.2,Wide - Normalized (result tier),-0.012441937350830278,0.0018867346320702247,-0.016139937229687918,-0.008743937471972638,4.26895985182671e-11,4.26895985182671e-11
evidence_precision,treatment_only_wide_vs_norm,GPT-5.6 Terra,Wide - Normalized (result tier),-0.01767754939495578,0.001885426622992382,-0.02137298557602085,-0.013982113213890712,6.859569941258353e-21,2.7438279765033413e-20
token_discounted_gain,treatment_only_wide_vs_norm,Claude Sonnet 5,Wide - Normalized (result tier),0.011823772387719006,0.003642903777076183,0.004683680984649687,0.018963863790788325,0.0011716227978791057,0.0011716227978791057
token_discounted_gain,treatment_only_wide_vs_norm,DeepSeek V4,Wide - Normalized (result tier),0.01392669319904732,0.003642903777076183,0.006786601795978002,0.02106678460211664,0.00013185656633817776,0.00017580875511757034
token_discounted_gain,treatment_only_wide_vs_norm,GLM-5.2,Wide - Normalized (result tier),0.01749992759116285,0.0036459603740951305,0.010353845257936395,0.024646009924389305,1.5881393864231836e-06,3.1762787728463672e-06
token_discounted_gain,treatment_only_wide_vs_norm,GPT-5.6 Terra,Wide - Normalized (result tier),0.020408249378807725,0.0036418398590287145,0.013270243255111443,0.027546255502504006,2.0966704646397004e-08,8.386681858558802e-08
temporal_grounding,treatment_only_wide_vs_norm,Claude Sonnet 5,Wide - Normalized (result tier),-0.07982790595145393,0.006968739329344779,-0.0934866350369697,-0.06616917686593816,2.21597088758446e-30,2.9546278501126133e-30
temporal_grounding,treatment_only_wide_vs_norm,DeepSeek V4,Wide - Normalized (result tier),-0.09690412045511923,0.006656063235354251,-0.10995000439641356,-0.0838582365138249,5.1370828488781487e-48,2.0548331395512595e-47
temporal_grounding,treatment_only_wide_vs_norm,GLM-5.2,Wide - Normalized (result tier),-0.08002156676916532,0.00664080305101357,-0.09303754074915191,-0.06700559278917873,1.9398890925308865e-33,3.879778185061773e-33
temporal_grounding,treatment_only_wide_vs_norm,GPT-5.6 Terra,Wide - Normalized (result tier),-0.07536505520152594,0.00694280268572365,-0.0889729484655443,-0.06175716193750758,1.885295648339549e-27,1.885295648339549e-27
